year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1925  148.1  163.4   89.4  136.4  160.4   32.0   77.1   88.6  122.4  124.3   54.0  138.2   523.7   386.2   197.7   300.7  1334.4
1926  183.8  126.6  127.3   84.0   86.3   87.7   90.0  112.3  133.4  181.0  174.8  107.4   448.6   297.6   289.9   489.2  1494.5
1927  200.6   77.1  102.8  131.5   81.2  125.6  105.4  136.4  191.3  179.5  148.2   44.7   385.1   315.5   367.4   519.0  1524.3
1928  293.1  148.3  127.2   66.8   50.0  125.1   96.2  136.9  113.9  191.6  191.1  145.8   486.0   243.9   358.2   496.6  1685.9
1929   52.8   49.0   28.0   61.0   93.3   89.2  109.3  159.4   84.1  200.2  181.0  267.3   247.6   182.2   357.9   465.2  1374.4
1930  199.9   25.9   87.4   63.2   65.2   85.4   90.7  188.6  125.3  203.8  181.5  142.4   493.2   215.8   364.7   510.6  1459.4
1931  163.9  137.2   39.4   83.5  112.7  137.5  133.3   68.1   52.4  117.1  185.4  147.8   443.5   235.6   338.9   354.9  1378.3
1932  228.2   11.2   95.8  134.9   86.8   37.7  125.7   79.7  143.7  212.7  146.2  185.4   387.2   317.5   243.0   502.6  1487.9
1933  150.7  122.8   71.2   92.8   57.5   66.6  112.1  105.6   40.1  150.2   78.8   41.8   458.9   221.6   284.4   269.1  1090.4
1934  176.3   42.5  102.0  150.1   99.0   62.6  113.6  136.7  146.7  207.0   62.9  179.8   260.6   351.0   312.9   416.6  1479.2
1935  103.6  159.7   79.2  108.3   36.2  113.3   69.2  108.6  188.8  255.5  147.8   98.6   443.2   223.6   291.1   592.2  1468.8
1936  137.0   83.8   73.2   48.2   51.1   52.1  151.7   85.4  117.2  151.7  112.2  206.9   319.4   172.5   289.1   381.1  1270.4
1937  205.9  142.8   69.1   54.2   64.7   80.4  121.8  108.6  101.2   98.1   40.5   90.8   555.5   188.0   310.8   239.7  1177.8
1938  220.2  105.6  131.5   29.0  104.1  155.8  145.5   90.7  123.5  247.1  244.5  137.3   416.5   264.6   392.0   615.1  1734.8
1939  141.4  165.6  116.1   71.0   37.8   63.9  170.2   67.4   73.1   94.9  210.2   89.8   444.4   224.9   301.5   378.1  1301.4
1940   57.5   63.7  119.9   87.3   52.0   38.7  186.6   81.0  108.6  157.9  211.8  165.6   211.0   259.2   306.3   478.3  1330.6
1941   57.4  125.6   71.1   67.2   73.3   30.7  103.7  162.3   57.8  151.2  146.0  117.4   348.6   211.6   296.7   355.0  1163.6
1942  159.4   76.7   71.0   64.6   86.9   58.0  111.8  138.4  164.4  190.9   56.7  195.7   353.5   222.5   308.3   411.9  1374.5
1943  144.9  148.7   84.9  120.6  110.2  100.8   89.9  164.9  116.4  213.1  119.3   85.8   489.3   315.7   355.6   448.8  1499.4
1944  174.5   77.4   59.2   84.5  103.9  116.2   74.6   95.1  136.4  159.2  190.0  163.2   337.8   247.7   285.9   485.6  1434.4
1945  138.2  167.2   93.1   63.9  123.5  113.1   94.6   83.3  145.4  144.4   28.3  156.5   468.6   280.4   291.0   318.1  1351.4
1946  158.5  114.9   76.8   61.2   46.9  110.7  150.5  122.5  180.0   19.2  178.3  137.2   430.0   185.0   383.7   377.4  1356.8
1947  132.8   34.4   98.1  192.6   97.9  110.4  105.2    5.3  156.2   76.0  216.7   89.9   304.3   388.6   221.0   448.9  1315.4
1948  189.0  134.7  111.1  101.2   70.9  137.6  108.9  190.6  174.8  173.2  116.8  186.3   413.5   283.1   437.1   464.7  1694.9
1949  180.1  145.5   87.2  141.8   78.1   43.9   66.4  151.1   77.9  169.2  154.2  259.8   511.8   307.2   261.4   401.3  1555.3
1950  124.1  147.5  103.1  135.7   52.2   90.4  139.9  142.7  269.3  133.4  142.3   94.5   531.5   291.0   373.0   545.1  1575.3
1951  160.2  112.1   99.2  127.2   42.3   64.0  116.1  149.0   94.1   59.5  223.7  212.8   366.8   268.7   329.1   377.3  1460.0
1952  144.0   67.7  105.0   67.5   70.8   95.8   83.3  139.9  103.5  148.4  107.0  153.5   424.5   243.3   319.1   358.9  1286.6
1953   87.1   86.4   45.3  103.1   92.4   63.6  158.1  115.6  144.1   98.4  205.5  147.7   327.1   240.8   337.2   447.9  1347.2
1954  134.7  111.3  100.8   54.6  124.4  106.4  106.8  119.4  165.4  252.7  212.0  224.8   393.7   279.9   332.6   630.1  1713.4
1955   95.7  101.7   54.1   70.6   97.7   69.9   33.8   37.3  130.5  147.5   69.6  224.0   422.2   222.5   141.0   347.6  1132.5
1956  130.3   76.6   68.4   67.6   84.3   89.5  164.8  173.3  135.2  131.6  103.9  207.4   430.9   220.3   427.6   370.7  1432.8
1957  199.9  113.6  133.8   59.1   60.6   75.3  152.2  152.7  102.6  148.0   77.7  191.9   520.9   253.5   380.3   328.3  1467.5
1958  158.6  111.9   66.6   71.0  122.6   78.5  121.6  132.7  112.2  139.8   54.6  154.8   462.3   260.2   332.8   306.6  1324.8
1959  111.1   51.3   81.5  114.4   47.4   92.7  144.4   63.5   48.1  171.2  190.7  199.2   317.2   243.4   300.6   410.0  1315.4
1960  128.3  129.2   53.3  105.7   53.7   74.5   99.7  138.2   86.4  110.0  144.8  153.4   456.6   212.7   312.4   341.1  1277.0
1961  125.0  140.5   98.0   96.2   59.4   79.3  120.3  162.1  153.0  199.9  119.1  114.3   418.9   253.6   361.7   472.0  1467.2
1962  234.0  137.6   63.5   75.9   91.7   85.9   79.0  203.5  152.7   87.4   96.7  164.7   485.8   231.0   368.4   336.9  1472.5
1963   39.5   32.5  153.7   88.6  121.5   94.6   81.9  140.0  125.9  146.5  185.6   62.3   236.7   363.8   316.6   458.1  1272.7
1964   73.7   50.7   63.7  107.1  108.1   85.8  100.3  148.6  146.7  101.4  137.1  170.3   186.7   278.9   334.8   385.2  1293.6
1965  161.8   43.1   82.9  116.5   87.3  119.4  111.6  121.8  162.5  137.8  105.2  156.2   375.1   286.8   352.7   405.5  1406.0
1966   80.3  123.8  143.1   67.9  114.0  143.0   71.5  101.8  117.0  128.4  153.9  241.2   360.3   325.0   316.3   399.2  1485.9
1967  122.2  143.1  207.9   78.7  125.1   74.1  104.0   94.2  138.2  242.4  130.7  133.5   506.5   411.7   272.3   511.2  1594.0
1968  140.9   73.1  152.5   71.5  104.5   70.0  105.5   68.5  116.9  200.9   84.9   83.0   347.5   328.5   243.9   402.7  1272.1
1969  135.1   78.6   39.5   76.4  102.2   83.0   86.7   87.4  129.8  134.6  167.4  113.2   296.7   218.1   257.0   431.8  1233.8
1970  105.6  145.5  105.2  103.6   76.9   70.9  150.1  119.0  148.7  201.1  188.0   88.9   364.3   285.7   340.0   537.8  1503.5
1971  128.4   98.0   97.5   56.3   77.5   71.2   82.1   98.4   58.3  163.4  150.8  130.7   315.3   231.3   251.7   372.5  1212.5
1972  141.2   92.4   71.0  125.1  111.8  119.2   58.3   81.2   32.6   71.2  168.4  136.3   364.3   307.9   258.6   272.2  1208.6
1973  106.3  115.1   77.4   85.0   98.0   95.0   85.4  110.0  102.4   78.5  174.7  174.5   357.7   260.4   290.5   355.7  1302.5
1974  253.0  125.1   66.7   14.6   78.4   69.4  106.4  100.4  141.4  106.9  198.9  251.1   552.6   159.7   276.2   447.2  1512.3
1975  253.5   47.7   62.0  106.3   43.4   66.5  107.2   81.2  176.4   80.3  139.5  106.6   552.2   211.8   254.9   396.3  1270.7
1976  202.3   99.8  133.5   65.9  119.5   74.3   66.3   23.0  127.1  182.3  131.8   98.2   408.7   319.0   163.7   441.2  1324.1
1977  112.9  118.4  133.9  134.1   73.5   68.5   62.6  101.2  154.0  176.3  214.0   91.7   329.6   341.5   232.2   544.3  1441.0
1978  154.9   95.2  173.0   47.3   35.8   64.8   85.4   97.2  187.7  116.1  209.2  136.0   341.7   256.1   247.5   513.0  1402.7
1979  118.1   45.5  188.3   93.6   93.4   78.1  104.3  128.7  130.2  144.1  214.6  193.2   299.6   375.4   311.0   489.0  1532.2
1980  112.9   95.7  103.8   21.0   25.3  138.4  119.0  131.6  187.2  184.1  178.5  221.6   401.9   150.1   389.1   549.8  1519.3
1981  169.7   98.2  148.0   33.4   79.3   99.4   88.8   54.0  228.0  216.6  234.9   78.5   489.4   260.7   242.2   679.5  1528.7
1982  148.4  115.4  156.2   47.5   93.9   56.1   51.8  160.6  200.0  185.8  224.9  206.5   342.2   297.5   268.5   610.6  1646.9
1983  241.2   60.5  157.4   68.7   96.6   79.4   47.0   48.5  167.0  247.3   54.4  227.3   508.2   322.7   174.8   468.7  1495.3
1984  216.7  109.7  102.0   62.0   23.3   66.8   53.6   50.4  164.4  212.2  230.8  164.5   553.7   187.3   170.9   607.4  1456.4
1985   84.7   47.0   95.8  113.0   73.4   83.7  166.6  228.5  195.6   81.9  141.3  192.1   296.1   282.2   478.8   418.8  1503.5
1986  191.8   20.7  168.8   81.4  177.6   62.2   87.1  119.7   61.6  160.8  227.9  277.2   404.6   427.8   269.0   450.3  1636.7
1987   73.2   87.1  155.0   68.5   74.8   98.8  110.1  118.6  149.1  161.4  113.0  141.3   437.4   298.3   327.5   423.5  1350.9
1988  195.8  136.1  169.1   77.3   57.6   31.9  191.2  173.8  146.4  168.6   98.5  147.4   473.1   304.0   396.8   413.5  1593.5
1989  198.8  237.7  186.6   64.9   54.8   77.0   49.5  185.2   94.1  183.9   60.8   96.1   583.8   306.3   311.7   338.8  1489.3
1990  245.0  289.4  239.0   98.9   54.0  129.7   74.3  119.6  144.5  208.8  100.8  188.1   630.5   391.9   323.5   454.1  1892.1
1991  149.0   83.3  126.3  124.8   41.3  122.2   92.6   67.8  129.9  163.8  221.0  139.2   420.4   292.3   282.6   514.7  1461.2
1992  137.1  170.5  207.8  120.4   80.5   40.8   91.8  223.4  173.3  120.9  209.3  156.0   446.8   408.6   356.0   503.5  1731.6
1993  303.0   68.1  121.6  115.7  112.0   74.2  114.8   75.9   74.3  114.9   77.4  232.4   527.1   349.4   264.9   266.6  1484.4
1994  215.4   94.7  248.4  135.2   30.2  113.3   67.1  103.0  106.4  109.5  154.9  243.3   542.5   413.8   283.3   370.8  1621.3
1995  227.6  204.4  144.7   68.2   82.9   42.7   88.4   34.9  191.8  225.0  125.3   56.8   675.4   295.9   166.0   542.1  1492.9
1996   89.0  139.7   59.2  109.3   78.2   66.0   79.0   69.9   65.2  225.5  193.2   96.1   285.5   246.7   214.9   483.9  1270.2
1997   57.6  268.6  138.8   78.5  109.5   99.8   88.1   66.9  114.1   80.8  137.6  183.1   422.3   326.7   254.8   332.5  1423.4
1998  166.8  201.4  122.7  119.3   56.0  113.3  151.2  130.0   92.2  235.2  179.2  180.9   551.3   298.0   394.5   506.5  1748.1
1999  222.9  142.5  125.4  111.2  111.2  118.1   87.1   65.7  170.8  119.7  194.4  270.9   546.2   347.8   270.8   484.9  1739.8
2000  198.8  200.1  126.1  106.5   65.2   76.5   54.9  116.2  153.2  234.9  177.0  190.9   669.9   297.8   247.6   565.1  1700.4
2001   90.8  102.7   77.3   75.5   43.3   87.7   99.9  115.4  108.9  239.4  150.8  116.4   384.4   196.1   303.0   499.1  1308.1
2002  211.9  243.6  126.5   89.4  110.7  137.4  126.9   89.6   51.5  184.5  174.5   74.4   571.9   326.6   353.8   410.4  1620.7
2003  169.1   63.2   83.0   59.4  138.1   76.2   80.7   45.3   85.3   79.0  160.2  167.8   306.8   280.5   202.2   324.4  1207.2
2004  206.8  108.7   98.3  123.5   61.6  131.0   75.8  189.5  174.7  204.1  121.4  192.5   483.3   283.5   396.4   500.1  1688.1
2005  239.4  109.5  112.9  122.2  115.6  104.0   48.6  134.7  138.8  182.9  172.4   97.6   541.5   350.7   287.3   494.2  1578.7
2006  107.9   85.4  136.5  107.8  118.1   75.1   70.7   96.6  149.3  194.6  240.3  261.6   291.0   362.4   242.3   584.2  1644.0
2007  239.7  131.6  138.9   53.4  129.7  109.6  134.3  138.3  100.4   99.4  157.8  142.7   632.9   322.0   382.2   357.6  1575.8
2008  275.0  159.4  165.6   97.6   26.0  107.7  107.3  155.3  106.6  237.0  145.0  135.5   577.1   289.2   370.3   488.6  1717.9
2009  164.9   83.1  147.9   80.4  121.2   70.4  154.4  200.9  127.0  166.3  260.9  101.3   383.4   349.6   425.7   554.2  1678.7
2010   92.4   81.5  101.0   85.4   49.9   39.5  164.9  102.2  152.5  147.5  165.5   61.9   275.3   236.2   306.6   465.4  1244.2
2011  135.6  164.8  103.9   77.2  188.8   99.5   98.7  162.7  187.6  204.1  177.7  262.1   362.3   369.9   360.9   569.4  1862.8
2012  181.7  105.7   57.5  114.2   82.9  126.3  125.3  134.9  145.9  150.9  158.8  212.2   549.5   254.6   386.5   455.6  1596.3
2013  147.1   81.8   51.6  115.7  118.1   59.9   81.6   88.1  100.7  190.1  128.4  295.1   441.1   285.3   229.6   419.2  1458.0
2014  215.0  221.5  129.5   92.8   99.3   67.2   86.2  187.7   39.0  246.6  137.7  217.0   731.6   321.6   341.2   423.4  1739.7
2015  250.4  123.3  171.2   78.3  151.1   92.2  151.2  116.4   49.8   92.2  240.1  324.0   590.7   400.5   359.8   382.1  1840.1
2016  252.5  162.7   89.6   99.1   72.6   89.4  137.6  118.1  142.2   65.6  113.6  145.5   739.3   261.3   345.1   321.4  1488.6
2017   99.8  142.2  127.3   62.9   53.5  153.1  110.0  146.3  140.8  178.1  163.3  145.4   387.5   243.7   409.4   482.3  1522.9
2018  184.0   96.8   99.1   85.5   47.9   69.2   79.3  103.6  171.0  168.6  159.0  131.3   426.2   232.5   252.2   498.6  1395.4
2019  106.7  104.3  178.7   52.8  104.5  102.6  129.2  207.8  131.7  148.4  102.6  189.7   342.3   336.0   439.6   382.7  1559.0
2020  202.5  277.0  120.5   30.2   77.1  123.4  134.3  112.4  125.4  240.2  161.6  205.0   669.2   227.8   370.1   527.1  1809.5
2021  135.5  133.3  140.4   35.4  109.5   39.2   66.4   83.0  105.1  219.3                 473.9   285.2   188.6                
