National Communication Categories,SG Source Sector,CCP mapping,IPCC,SourceName,Pollutant,EmissionYear,Emissions (MtCO2e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CO2,2018,0.031344474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,BaseYear,0.000882452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,1990,0.000882452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,1995,0.000772782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,1998,0.000606934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,1999,0.000582276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2000,0.000592923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2001,0.000580166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2002,0.000596779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2003,0.000607987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2004,0.000659073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2005,0.000694618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2006,0.000596645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2007,0.000563633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2008,0.000714942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2009,0.000557833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2010,0.000808896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2011,0.00066681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2012,0.000758625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2013,0.001150014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2014,0.001642098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2015,0.003069681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2016,0.002812597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2017,0.002752221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,CH4,2018,0.004208479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,BaseYear,0.00018149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,1990,0.00018149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,1995,0.000195788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,1998,0.000140273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,1999,0.000150236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2000,0.000102797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2001,0.000109687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2002,0.000105407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2003,0.000107475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2004,0.000111032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2005,0.000112662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2006,0.000105866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2007,0.000103476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2008,0.00012718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2009,0.000100104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2010,0.000139069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2011,0.000119503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2012,0.000133341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2013,0.00019829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2014,0.000277311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2015,0.000504393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2016,0.000463809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2017,0.000454203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture - stationary combustion,N2O,2018,0.000686311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,BaseYear,0.810008844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,1990,0.810008844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,1995,0.810008844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,1998,0.811814273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,1999,0.79577875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2000,0.772424064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2001,0.759174935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2002,0.756715652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2003,0.750682279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2004,0.720758396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2005,0.72825017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2006,0.692644569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2007,0.658309285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2008,0.642151485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2009,0.656207309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2010,0.660820293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2011,0.669367128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2012,0.68962666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2013,0.681329017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2014,0.685477549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2015,0.713763037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2016,0.754018965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2017,0.761730366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CO2,2018,0.76014883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CH4,BaseYear,0.001039876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CH4,1990,0.001039876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CH4,1995,0.001039876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CH4,1998,0.001040992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Agriculture and Related Land Use,Agriculture ,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,CH4,1999,0.001020504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
